,Weighting,InheritedValue,HI,AR,GK,AL,TB,VE,AV,OC,LI,OE,OI,LA,LU,LY,TA,PE,PR,LT,GO,ON,OG,WE,OS,UM
372mouse,1,-1,1,2,2,2,3,2,4,2,5,2,6,2,7,8,9,10,11,5,12,2,2,6,13,14
373nail,1,-1,1,2,3,4,12,3,5,13,14,15,16,3,6,7,12,8,13,14,9,15,15,16,10,11
374naked,1,-1,1,1,1,2,3,1,1,12,12,13,14,1,4,5,6,7,8,9,13,13,13,14,10,11
375navel,1,-1,1,2,3,4,5,3,3,6,7,16,3,3,8,9,10,11,3,3,12,16,16,13,14,15
376nine,1,-1,1,2,2,2,2,2,2,5,5,2,2,2,3,2,2,2,2,5,2,2,2,2,4,2
377.1now1,1,-1,1,2,1,1,1,12,12,1,3,1,4,1,1,5,6,12,7,8,1,1,1,9,10,11
377.1now2,1,-1,1,2,1,1,1,13,12,1,3,1,4,1,1,5,6,12,7,8,1,1,1,9,10,11
378orphan,1,-1,1,2,2,3,4,5,6,7,8,9,10,2,11,12,13,14,15,16,17,18,19,20,21,22
381plow,1,-1,1,2,3,4,5,6,6,3,3,3,3,3,7,8,9,10,3,3,3,3,3,3,11,12
382pour,1,-1,1,2,3,4,3,5,5,6,6,14,7,14,1,8,3,9,6,6,14,10,14,11,12,13
384remember,1,-1,1,2,3,4,5,6,6,3,3,3,3,3,7,8,5,9,10,3,3,3,11,3,3,12
385roof,1,-1,1,2,3,4,5,6,7,8,17,18,19,20,9,10,11,12,17,13,14,18,18,19,15,16
386row,1,-1,1,2,3,4,5,6,7,8,9,20,20,21,10,11,12,13,14,9,15,20,16,17,18,19
387send,1,-1,1,2,3,4,5,6,7,8,9,10,11,12,13,14,5,6,15,16,10,10,10,17,18,19
388seven,1,-1,1,1,1,1,1,1,1,1,1,7,1,1,2,3,1,4,1,1,7,7,7,1,5,6
393silver,1,-1,1,2,10,4,5,3,3,6,11,12,3,3,7,8,5,3,13,14,12,12,12,3,3,9
394sister,1,-1,1,2,3,4,2,2,2,2,2,2,2,2,1,5,2,6,2,7,2,2,2,2,8,9
395sister-in-law,1,-1,1,2,3,4,5,6,7,3,8,9,10,3,11,12,13,14,15,8,16,17,18,19,20,21
396six,1,-1,1,2,2,2,2,2,2,2,2,2,2,2,3,4,2,5,2,2,2,2,2,2,6,7
398.1son-in-law1,1,-1,1,2,3,3,4,3,3,3,3,5,6,3,7,8,9,10,11,12,13,13,5,14,15,16
